source_group,clean_name,occurrences,sample_raw_name,suggested_category,suggested_country_code,suggested_country_name,suggested_logo_url,match_reason,match_score,matched_id,matched_name,matched_country,matched_country_name,matched_categories,matched_website,override_category,override_country_code,override_logo_url,override_tvg_id,override_matched_name,override_matched_country,override_website,notes
United Kingdom,NOW 80S,2,NOW 80S .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,NOW 90S,2,NOW 90S .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,PARAMOUNT,2,PARAMOUNT .b,Film,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,PICK,2,PICK .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,POP,2,POP .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,POP MAX,2,POP MAX .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,REALLY,2,REALLY .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,RTE JR,2,RTE JR .b,Cocuk,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,S4C,2,S4C .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,SHOWCASE,2,SHOWCASE .b,Film,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,SKY ARTS,2,SKY ARTS .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,SKY ATLANTIC,2,SKY ATLANTIC .b,Ulusal,GB,United Kingdom,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Sky_Atlantic_-_Logo_2020_%28TV_channel%29.svg/960px-Sky_Atlantic_-_Logo_2020_%28TV_channel%29.svg.png,iptv-org-exact,1.100,SkyAtlantic.de,Sky Atlantic,DE,Germany,,https://www.sky.de/,,,,,,,,
United Kingdom,SKY CINEMA DISNEY,2,SKY CINEMA DISNEY .b,Cocuk,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,SKY NEWS,2,SKY NEWS .b,Haber,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,SKY SHOWCASE,2,SKY SHOWCASE .b,Film,GB,United Kingdom,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/512/512/skychb1276.png,iptv-org-exact,1.100,SkyShowcase.uk,Sky Showcase,UK,United Kingdom,,https://www.sky.com/watch/channel/sky-showcase,,,,,,,,
United Kingdom,SKY WITNESS,2,SKY WITNESS .b,Ulusal,GB,United Kingdom,https://d2n0069hmnqmmx.cloudfront.net/epgdata/1.0/newchanlogos/512/512/skychb2201.png,iptv-org-exact,1.100,SkyWitness.ie,Sky Witness,IE,Ireland,,,,,,,,,,
United Kingdom,SYFY,2,SYFY .s,Film,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,TINY POP,2,TINY POP .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,YESTERDAY,2,YESTERDAY .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,4MUSIC,1,4MUSIC .s,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,5 USA,1,5 USA .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,5USA,1,5USA .s,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,5USA PLUS 1,1,5USA+1 .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,92 NEWS,1,92 NEWS .b,Haber,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,ABP NEWS,1,ABP NEWS .s,Haber,GB,United Kingdom,,,,,,,,,,,,,,,,,
United Kingdom,ABSOLUTE,1,ABSOLUTE .b,Ulusal,GB,United Kingdom,,,,,,,,,,,,,,,,,
